-------------------------- Results --------------------------


Fitness|Execução|POP Size|Number of Generations|Mutation Rate|Crossover Rate|X      |Y
 0.9628|1       |100                 |100               |0.5%           |65%              |-5.2651| 3.4176
 0.9903|2       |100                 |100               |0.5%           |65%              | 0.9417|-2.9939
 0.9967|3       |100                 |100               |0.5%           |65%              |-0.0294|-0.0490
 0.9903|4       |100                 |100               |0.5%           |65%              | 1.8263| 2.5524
 0.9903|5       |100                 |100               |0.5%           |65%              | 2.2332| 2.2010
 0.9903|6       |100                 |100               |0.5%           |65%              | 1.5032| 2.7537
 0.9903|7       |100                 |100               |0.5%           |65%              |-1.7701| 2.5922
 0.9902|8       |100                 |100               |0.5%           |65%              |-0.0310|-3.1298
 0.9903|9       |100                 |100               |0.5%           |65%              | 2.4928|-1.9068
 0.9935|10      |100                 |100               |0.5%           |65%              |-0.0498|-0.0637
 0.9903|11      |100                 |100               |0.5%           |65%              |-3.1375| 0.0428
 0.9903|12      |100                 |100               |0.5%           |65%              |-2.2275|-2.2101
 0.9891|13      |100                 |100               |0.5%           |65%              |-3.1694| 0.1601
 0.9903|14      |100                 |100               |0.5%           |65%              | 1.7864| 2.5804
 0.9900|15      |100                 |100               |0.5%           |65%              |-1.9142|-2.4670
 0.9859|16      |100                 |100               |0.5%           |65%              | 2.5405|-1.9551
 0.9902|17      |100                 |100               |0.5%           |65%              | 2.3117|-2.1334
 0.9902|18      |100                 |100               |0.5%           |65%              |-1.2196| 2.8852
 0.9903|19      |100                 |100               |0.5%           |65%              |-1.6001| 2.6999
 0.9903|20      |100                 |100               |0.5%           |65%              | 3.0830| 0.5991
 0.9999|21      |100                 |100               |0.5%           |65%              |-0.0089| 0.0010
 0.9903|22      |100                 |100               |0.5%           |65%              |-1.3622|-2.8305
 0.9903|23      |100                 |100               |0.5%           |65%              | 0.3771|-3.1157
 0.9899|24      |100                 |100               |0.5%           |65%              |-0.2034| 3.1515
 0.9902|25      |100                 |100               |0.5%           |65%              | 3.1106| 0.3361
 0.9903|26      |100                 |100               |0.5%           |65%              | 3.1380|-0.0545
 0.9999|27      |100                 |100               |0.5%           |65%              |-0.0071|-0.0004
 0.9903|28      |100                 |100               |0.5%           |65%              | 3.0924|-0.5297
 0.9903|29      |100                 |100               |0.5%           |65%              | 0.8932| 3.0114
 0.9903|30      |100                 |100               |0.5%           |65%              |-2.0032|-2.4161
 0.9903|31      |100                 |100               |0.5%           |65%              | 0.4882|-3.1011
 0.9903|32      |100                 |100               |0.5%           |65%              |-0.9920| 2.9776
 0.9903|33      |100                 |100               |0.5%           |65%              |-1.2908|-2.8609
 0.9903|34      |100                 |100               |0.5%           |65%              |-2.3751|-2.0525
 0.9903|35      |100                 |100               |0.5%           |65%              | 3.0729| 0.6367
 0.9903|36      |100                 |100               |0.5%           |65%              |-0.6547|-3.0694
 0.9903|37      |100                 |100               |0.5%           |65%              | 3.1379| 0.0441
 0.9903|38      |100                 |100               |0.5%           |65%              |-0.6343|-3.0730
 0.9903|39      |100                 |100               |0.5%           |65%              | 2.8270|-1.3651
 0.9903|40      |100                 |100               |0.5%           |65%              |-2.5953| 1.7671
 0.9903|41      |100                 |100               |0.5%           |65%              |-3.0195|-0.8653
 0.9903|42      |100                 |100               |0.5%           |65%              | 3.1308|-0.2226
 0.9903|43      |100                 |100               |0.5%           |65%              | 1.8400|-2.5421
 0.9903|44      |100                 |100               |0.5%           |65%              |-2.7568|-1.5000
 0.9903|45      |100                 |100               |0.5%           |65%              | 1.9149|-2.4861
 0.9903|46      |100                 |100               |0.5%           |65%              |-2.4262|-1.9971
 0.9903|47      |100                 |100               |0.5%           |65%              | 2.8832|-1.2365
 0.9902|48      |100                 |100               |0.5%           |65%              |-0.0332|-3.1495
 0.9903|49      |100                 |100               |0.5%           |65%              |-1.6664|-2.6599
 0.9903|50      |100                 |100               |0.5%           |65%              | 2.4570|-1.9520


------------------------------------------------------------------------
