-------------------------- Resultado Execução --------------------------


Fitness|Execução|Tamanho da População|Numero de Gerações|Taxa de Mutação|Taxa de Crossover|X      |Y
 0.9928|1       |100                 |100               |0.5%           |65%              | 0.0415|-0.0738
 0.9903|2       |100                 |100               |0.5%           |65%              | 0.7547| 3.0466
 0.9903|3       |100                 |100               |0.5%           |65%              |-0.7981| 3.0354
 0.9903|4       |100                 |100               |0.5%           |65%              |-2.8908|-1.2259
 0.9903|5       |100                 |100               |0.5%           |65%              |-2.0919| 2.3397
 0.9998|6       |100                 |100               |0.5%           |65%              | 0.0044|-0.0128
 0.9903|7       |100                 |100               |0.5%           |65%              |-1.9218|-2.4814
 0.9630|8       |100                 |100               |0.5%           |65%              | 0.4470| 3.2757
 0.9999|9       |100                 |100               |0.5%           |65%              |-0.0066| 0.0041
 0.9903|10      |100                 |100               |0.5%           |65%              |-1.9444| 2.4636
 0.9903|11      |100                 |100               |0.5%           |65%              | 2.8513|-1.3116
 1.0000|12      |100                 |100               |0.5%           |65%              | 0.0008|-0.0001
 0.9989|13      |100                 |100               |0.5%           |65%              | 0.0153|-0.0288
 0.9628|14      |100                 |100               |0.5%           |65%              |-5.9327| 2.0507
 0.9903|15      |100                 |100               |0.5%           |65%              | 1.1930| 2.9029
 0.9903|16      |100                 |100               |0.5%           |65%              |-2.8312|-1.3544
 1.0000|17      |100                 |100               |0.5%           |65%              |-0.0009| 0.0069
 0.9903|18      |100                 |100               |0.5%           |65%              | 0.6438|-3.0717
 0.9903|19      |100                 |100               |0.5%           |65%              |-3.1250|-0.2912
 0.9903|20      |100                 |100               |0.5%           |65%              |-0.2376| 3.1295
 0.9903|21      |100                 |100               |0.5%           |65%              |-3.1254| 0.2938
 1.0000|22      |100                 |100               |0.5%           |65%              | 0.0002|-0.0001
 1.0000|23      |100                 |100               |0.5%           |65%              | 0.0000| 0.0000
 0.9903|24      |100                 |100               |0.5%           |65%              |-2.8732| 1.2629
 0.9903|25      |100                 |100               |0.5%           |65%              | 2.9991| 0.9244
 0.9903|26      |100                 |100               |0.5%           |65%              |-3.0613| 0.6918
 0.9903|27      |100                 |100               |0.5%           |65%              |-2.1516|-2.2849
 0.9903|28      |100                 |100               |0.5%           |65%              |-2.7051|-1.5914
 0.9999|29      |100                 |100               |0.5%           |65%              |-0.0091|-0.0010
 0.9903|30      |100                 |100               |0.5%           |65%              |-1.4021|-2.8079
 0.9903|31      |100                 |100               |0.5%           |65%              | 1.9694|-2.4436
 0.9903|32      |100                 |100               |0.5%           |65%              |-2.9912| 0.9498
 0.9901|33      |100                 |100               |0.5%           |65%              | 3.0214|-0.8033
 0.9903|34      |100                 |100               |0.5%           |65%              |-0.9502|-2.9912
 1.0000|35      |100                 |100               |0.5%           |65%              |-0.0001|-0.0001
 0.9903|36      |100                 |100               |0.5%           |65%              |-2.8691|-1.2721
 0.9903|37      |100                 |100               |0.5%           |65%              | 2.6644| 1.6588
 0.9903|38      |100                 |100               |0.5%           |65%              | 0.7537| 3.0472
 0.9903|39      |100                 |100               |0.5%           |65%              |-3.1244| 0.2973
 0.9628|40      |100                 |100               |0.5%           |65%              |-4.9174| 3.9003
 0.9903|41      |100                 |100               |0.5%           |65%              |-3.1173| 0.3643
 1.0000|42      |100                 |100               |0.5%           |65%              | 0.0000| 0.0001
 0.9903|43      |100                 |100               |0.5%           |65%              |-1.0489|-2.9580
 0.9903|44      |100                 |100               |0.5%           |65%              |-2.8905| 1.2227
 0.9903|45      |100                 |100               |0.5%           |65%              |-2.5962| 1.7635
 0.9903|46      |100                 |100               |0.5%           |65%              | 1.9911| 2.4260
 0.9903|47      |100                 |100               |0.5%           |65%              |-1.7288| 2.6194
 0.9927|48      |100                 |100               |0.5%           |65%              | 0.0852| 0.0093
 1.0000|49      |100                 |100               |0.5%           |65%              | 0.0000| 0.0000
 0.9993|50      |100                 |100               |0.5%           |65%              | 0.0239| 0.0110


------------------------------------------------------------------------
