-------------------------- Results --------------------------


Fitness|Execução|POP Size|Number of Generations|Mutation Rate|Crossover Rate|X      |Y
 0.9903|1       |100                 |100               |0.5%           |65%              |-0.1592|-3.1303
 0.9900|2       |100                 |100               |0.5%           |65%              | 1.1288| 2.9468
 0.9903|3       |100                 |100               |0.5%           |65%              | 3.1363|-0.1181
 0.9903|4       |100                 |100               |0.5%           |65%              |-3.0106| 0.8867
 1.0000|5       |100                 |100               |0.5%           |65%              | 0.0026|-0.0025
 0.9903|6       |100                 |100               |0.5%           |65%              |-2.8528|-1.3075
 0.9903|7       |100                 |100               |0.5%           |65%              |-1.2574| 2.8757
 0.9903|8       |100                 |100               |0.5%           |65%              |-2.7900|-1.4480
 0.9903|9       |100                 |100               |0.5%           |65%              |-2.1985| 2.2398
 0.9903|10      |100                 |100               |0.5%           |65%              |-1.9420| 2.4652
 0.9901|11      |100                 |100               |0.5%           |65%              |-3.1255| 0.4130
 0.9903|12      |100                 |100               |0.5%           |65%              |-0.9133|-3.0015
 0.9903|13      |100                 |100               |0.5%           |65%              |-2.3965| 2.0267
 0.9903|14      |100                 |100               |0.5%           |65%              | 1.9487|-2.4601
 0.9903|15      |100                 |100               |0.5%           |65%              |-3.1248| 0.2910
 0.9903|16      |100                 |100               |0.5%           |65%              | 2.8970|-1.2054
 0.9785|17      |100                 |100               |0.5%           |65%              | 2.5582| 2.0020
 0.9902|18      |100                 |100               |0.5%           |65%              | 2.9062| 1.1610
 0.9903|19      |100                 |100               |0.5%           |65%              | 0.7972| 3.0382
 0.9903|20      |100                 |100               |0.5%           |65%              |-2.6795| 1.6390
 0.9903|21      |100                 |100               |0.5%           |65%              | 2.6239|-1.7208
 0.9903|22      |100                 |100               |0.5%           |65%              | 1.6380|-2.6768
 0.9903|23      |100                 |100               |0.5%           |65%              | 2.9893| 0.9546
 0.9903|24      |100                 |100               |0.5%           |65%              | 2.8208|-1.3757
 0.9903|25      |100                 |100               |0.5%           |65%              |-1.7478| 2.6041
 0.9879|26      |100                 |100               |0.5%           |65%              | 0.5481| 3.1401
 0.9903|27      |100                 |100               |0.5%           |65%              |-1.8709| 2.5200
 0.9902|28      |100                 |100               |0.5%           |65%              | 1.2192|-2.9036
 0.9903|29      |100                 |100               |0.5%           |65%              | 0.7829| 3.0399
 0.9903|30      |100                 |100               |0.5%           |65%              |-1.5361|-2.7338
 0.9902|31      |100                 |100               |0.5%           |65%              | 2.6364|-1.6867
 0.9903|32      |100                 |100               |0.5%           |65%              |-3.1075| 0.4402
 0.9888|33      |100                 |100               |0.5%           |65%              | 2.7621| 1.5702
 0.9903|34      |100                 |100               |0.5%           |65%              |-1.0334|-2.9655
 0.9900|35      |100                 |100               |0.5%           |65%              | 1.1045| 2.9190
 0.9903|36      |100                 |100               |0.5%           |65%              | 2.8314|-1.3537
 0.9903|37      |100                 |100               |0.5%           |65%              |-0.2875| 3.1253
 0.9903|38      |100                 |100               |0.5%           |65%              |-2.6390|-1.6987
 0.9903|39      |100                 |100               |0.5%           |65%              |-2.0721|-2.3589
 0.9901|40      |100                 |100               |0.5%           |65%              | 3.1116| 0.2831
 0.9901|41      |100                 |100               |0.5%           |65%              |-2.9677| 1.0605
 0.9903|42      |100                 |100               |0.5%           |65%              | 0.2459|-3.1290
 0.9902|43      |100                 |100               |0.5%           |65%              |-0.6395|-3.0639
 0.9903|44      |100                 |100               |0.5%           |65%              |-2.5383|-1.8459
 0.9903|45      |100                 |100               |0.5%           |65%              | 1.5790| 2.7119
 0.9628|46      |100                 |100               |0.5%           |65%              | 4.6659|-4.1995
 0.9903|47      |100                 |100               |0.5%           |65%              | 0.1737| 3.1340
 0.9903|48      |100                 |100               |0.5%           |65%              | 1.8277|-2.5538
 0.9898|49      |100                 |100               |0.5%           |65%              | 1.1065|-2.9125
 0.9903|50      |100                 |100               |0.5%           |65%              |-3.0681|-0.6621


------------------------------------------------------------------------
