-------------------------- Results --------------------------


Fitness|Execução|POP Size|Number of Generations|Mutation Rate|Crossover Rate|X      |Y
 0.9901|1       |100                 |100               |0.5%           |65%              | 1.5462| 2.7174
 0.9903|2       |100                 |100               |0.5%           |65%              |-1.6654| 2.6601
 0.9903|3       |100                 |100               |0.5%           |65%              |-0.8337| 3.0257
 0.9628|4       |100                 |100               |0.5%           |65%              |-1.8191| 6.0078
 0.9830|5       |100                 |100               |0.5%           |65%              | 3.1264|-0.7899
 1.0000|6       |100                 |100               |0.5%           |65%              |-0.0036| 0.0000
 0.9903|7       |100                 |100               |0.5%           |65%              |-2.7658| 1.4833
 0.9903|8       |100                 |100               |0.5%           |65%              |-2.3820| 2.0436
 0.9903|9       |100                 |100               |0.5%           |65%              | 0.3150|-3.1232
 0.9903|10      |100                 |100               |0.5%           |65%              |-1.0475| 2.9585
 0.9903|11      |100                 |100               |0.5%           |65%              | 2.4900| 1.9104
 0.9903|12      |100                 |100               |0.5%           |65%              |-2.8359| 1.3441
 0.9903|13      |100                 |100               |0.5%           |65%              |-1.6798|-2.6511
 0.9903|14      |100                 |100               |0.5%           |65%              | 2.0358| 2.3887
 0.9903|15      |100                 |100               |0.5%           |65%              |-0.3617|-3.1176
 1.0000|16      |100                 |100               |0.5%           |65%              | 0.0000| 0.0004
 0.9902|17      |100                 |100               |0.5%           |65%              | 3.1390| 0.1966
 1.0000|18      |100                 |100               |0.5%           |65%              | 0.0002| 0.0010
 0.9903|19      |100                 |100               |0.5%           |65%              |-3.0785| 0.6108
 0.9903|20      |100                 |100               |0.5%           |65%              |-2.7091|-1.5845
 0.9903|21      |100                 |100               |0.5%           |65%              |-1.4472| 2.7849
 0.9903|22      |100                 |100               |0.5%           |65%              |-0.4832| 3.1011
 0.9903|23      |100                 |100               |0.5%           |65%              | 3.1302|-0.2248
 0.9903|24      |100                 |100               |0.5%           |65%              |-2.7049| 1.5917
 0.9903|25      |100                 |100               |0.5%           |65%              |-1.6932|-2.6426
 0.9903|26      |100                 |100               |0.5%           |65%              |-1.8103|-2.5679
 0.9903|27      |100                 |100               |0.5%           |65%              | 2.0666|-2.3621
 0.9903|28      |100                 |100               |0.5%           |65%              |-0.1337| 3.1374
 0.9903|29      |100                 |100               |0.5%           |65%              | 2.4307| 1.9854
 0.9903|30      |100                 |100               |0.5%           |65%              | 2.9381|-1.1064
 1.0000|31      |100                 |100               |0.5%           |65%              | 0.0004| 0.0017
 0.9903|32      |100                 |100               |0.5%           |65%              |-2.2142|-2.2243
 0.9756|33      |100                 |100               |0.5%           |65%              |-0.3288| 2.9979
 0.9903|34      |100                 |100               |0.5%           |65%              | 0.7275| 3.0530
 0.9903|35      |100                 |100               |0.5%           |65%              |-3.0766| 0.6199
 0.9910|36      |100                 |100               |0.5%           |65%              | 0.0282| 0.0906
 0.9902|37      |100                 |100               |0.5%           |65%              | 0.7812|-3.0318
 0.9903|38      |100                 |100               |0.5%           |65%              | 0.2546| 3.1279
 0.9903|39      |100                 |100               |0.5%           |65%              | 2.2161| 2.2223
 0.9997|40      |100                 |100               |0.5%           |65%              | 0.0174| 0.0008
 0.9902|41      |100                 |100               |0.5%           |65%              | 1.8023| 2.5572
 0.9903|42      |100                 |100               |0.5%           |65%              |-3.1212| 0.3286
 0.9903|43      |100                 |100               |0.5%           |65%              | 0.9422| 2.9937
 0.9903|44      |100                 |100               |0.5%           |65%              |-1.0781|-2.9474
 1.0000|45      |100                 |100               |0.5%           |65%              |-0.0006|-0.0031
 0.9993|46      |100                 |100               |0.5%           |65%              |-0.0253|-0.0031
 0.9903|47      |100                 |100               |0.5%           |65%              | 2.4272|-1.9888
 0.9903|48      |100                 |100               |0.5%           |65%              | 3.1332| 0.1809
 0.9903|49      |100                 |100               |0.5%           |65%              |-2.0503| 2.3774
 0.9903|50      |100                 |100               |0.5%           |65%              |-3.0886|-0.5571


------------------------------------------------------------------------
