-------------------------- Results --------------------------


Fitness|Execução|POP Size|Number of Generations|Mutation Rate|Crossover Rate|X      |Y
 0.9903|1       |100                 |100               |0.5%           |65%              |-2.8605|-1.2923
 0.9903|2       |100                 |100               |0.5%           |65%              |-2.3158| 2.1178
 0.9896|3       |100                 |100               |0.5%           |65%              | 3.1112|-0.0341
 0.9903|4       |100                 |100               |0.5%           |65%              |-1.9734| 2.4407
 0.9903|5       |100                 |100               |0.5%           |65%              |-0.9125|-3.0044
 0.9903|6       |100                 |100               |0.5%           |65%              | 2.5832|-1.7815
 0.9902|7       |100                 |100               |0.5%           |65%              |-2.4303|-1.9755
 0.9903|8       |100                 |100               |0.5%           |65%              | 1.4050| 2.8091
 0.9897|9       |100                 |100               |0.5%           |65%              | 2.7318| 1.4947
 0.9887|10      |100                 |100               |0.5%           |65%              | 0.0610|-3.0973
 0.9890|11      |100                 |100               |0.5%           |65%              | 1.4836| 2.7240
 0.9903|12      |100                 |100               |0.5%           |65%              |-2.6491|-1.6856
 0.9903|13      |100                 |100               |0.5%           |65%              |-2.0484|-2.3768
 0.9903|14      |100                 |100               |0.5%           |65%              |-1.2223|-2.8910
 0.9903|15      |100                 |100               |0.5%           |65%              |-2.9904|-0.9527
 0.9903|16      |100                 |100               |0.5%           |65%              | 1.8791| 2.5136
 0.9903|17      |100                 |100               |0.5%           |65%              |-3.1280|-0.1754
 0.9903|18      |100                 |100               |0.5%           |65%              | 2.6958| 1.6068
 0.9903|19      |100                 |100               |0.5%           |65%              | 1.2616| 2.8738
 0.9903|20      |100                 |100               |0.5%           |65%              | 0.5696|-3.0862
 0.9903|21      |100                 |100               |0.5%           |65%              |-2.6365| 1.7029
 1.0000|22      |100                 |100               |0.5%           |65%              |-0.0021|-0.0033
 0.9903|23      |100                 |100               |0.5%           |65%              | 1.4774| 2.7687
 0.9903|24      |100                 |100               |0.5%           |65%              |-1.5409| 2.7346
 0.9997|25      |100                 |100               |0.5%           |65%              |-0.0110| 0.0145
 0.9901|26      |100                 |100               |0.5%           |65%              | 3.1283|-0.3987
 0.9903|27      |100                 |100               |0.5%           |65%              | 2.7894|-1.4407
 0.9903|28      |100                 |100               |0.5%           |65%              |-1.0159|-2.9696
 0.9903|29      |100                 |100               |0.5%           |65%              | 1.9658| 2.4483
 0.9903|30      |100                 |100               |0.5%           |65%              |-2.1973|-2.2418
 0.9902|31      |100                 |100               |0.5%           |65%              | 2.3695|-2.0680
 0.9903|32      |100                 |100               |0.5%           |65%              |-2.2265| 2.2126
 0.9903|33      |100                 |100               |0.5%           |65%              |-2.8256| 1.3752
 0.9903|34      |100                 |100               |0.5%           |65%              |-1.9972|-2.4216
 0.9903|35      |100                 |100               |0.5%           |65%              |-3.0589|-0.7030
 0.9903|36      |100                 |100               |0.5%           |65%              |-1.3325|-2.8411
 0.9901|37      |100                 |100               |0.5%           |65%              | 1.2285| 2.9013
 0.9903|38      |100                 |100               |0.5%           |65%              | 2.7993|-1.4193
 0.9903|39      |100                 |100               |0.5%           |65%              | 1.7807|-2.5847
 0.9903|40      |100                 |100               |0.5%           |65%              |-1.9106|-2.4923
 0.9902|41      |100                 |100               |0.5%           |65%              |-2.6731|-1.6626
 0.9628|42      |100                 |100               |0.5%           |65%              | 6.1457| 1.2782
 0.9903|43      |100                 |100               |0.5%           |65%              | 1.5144| 2.7501
 0.9903|44      |100                 |100               |0.5%           |65%              |-0.1334| 3.1311
 0.9903|45      |100                 |100               |0.5%           |65%              |-2.9908| 0.9521
 0.9903|46      |100                 |100               |0.5%           |65%              | 2.8115|-1.3947
 0.9901|47      |100                 |100               |0.5%           |65%              | 1.8950|-2.5208
 0.9903|48      |100                 |100               |0.5%           |65%              | 2.9450|-1.0849
 0.9903|49      |100                 |100               |0.5%           |65%              | 3.1035|-0.4796
 0.9903|50      |100                 |100               |0.5%           |65%              |-0.2520|-3.1272


------------------------------------------------------------------------
